,Skopje,Kumanovo,Bitola,Prilep,Tetovo,Štip,Veles,Ohrid,Strumica,Gostivar,Kočani,Struga,Debar,Kriva Palanka,Negotino,Sveti Nikole,Probištip,Delčevo,Vinica,Kičevo,Kavadarci,Berovo,Kratovo,Gevgelija,Radoviš,Kruševo,Makedonski Brod,Demir Kapija,Bogdanci,Demir Hisar,Valandovo,Pehčevo,Makedonska Kamenica,Resen
Skopje,0.0,37.7,167.5,120.0,41.3,61.4,58.8,180.4,125.8,63.5,78.9,184.1,155.3,87.1,83.7,42.5,84.7,123.8,86.8,125.4,89.1,132.7,87.8,122.2,91.4,169.8,152.8,92.9,128.0,174.0,122.7,137.4,102.3,196.1
Kumanovo,36.7,0.0,164.0,116.5,64.4,54.9,55.3,203.5,119.3,86.6,72.3,207.2,178.4,53.1,80.2,36.0,76.4,117.2,80.3,148.5,85.6,126.2,53.8,118.7,84.9,166.3,160.8,89.5,124.5,170.5,119.2,130.9,95.7,192.6
Bitola,157.2,152.9,0.0,52.9,175.9,152.4,122.5,80.9,189.2,153.6,169.8,92.6,137.9,202.2,111.7,147.1,179.0,214.7,177.8,90.8,100.5,223.6,193.6,152.5,176.4,69.5,95.9,123.3,158.4,32.3,153.1,228.4,193.2,36.8
Prilep,108.9,104.6,53.0,0.0,135.4,104.1,74.2,125.7,140.9,137.2,121.5,130.1,132.8,153.9,63.4,98.8,130.7,166.4,129.5,73.8,52.3,175.4,145.4,104.3,128.1,50.9,45.4,75.0,110.1,59.5,104.8,180.1,144.9,81.6
Tetovo,43.2,66.5,176.2,148.4,0.0,90.2,87.2,145.3,154.6,28.4,107.7,149.0,120.2,115.9,112.1,71.3,113.5,152.6,115.6,90.3,117.4,161.5,116.6,150.5,120.2,158.6,117.7,121.3,156.4,144.1,151.1,166.2,131.1,187.8
Štip,61.6,54.2,151.1,103.5,89.2,0.0,43.6,223.8,69.1,111.5,33.2,232.0,203.3,95.4,65.5,21.3,42.3,78.0,41.1,173.3,72.6,87.0,57.0,105.7,34.7,153.3,147.8,76.5,111.5,157.5,105.0,91.7,56.5,179.7
Veles,48.1,43.8,118.8,71.3,74.7,41.5,0.0,191.5,105.8,96.9,58.9,197.6,188.7,93.2,35.0,36.2,68.1,103.8,66.9,141.3,40.3,112.7,82.7,73.4,71.5,121.0,112.9,44.2,79.3,125.3,74.0,117.5,82.3,147.4
Ohrid,182.5,205.8,79.9,125.6,145.5,225.1,192.3,0.0,261.9,123.2,242.5,14.1,81.4,255.2,184.4,210.6,251.7,287.4,250.5,60.4,173.3,296.3,255.8,225.2,249.1,114.7,84.6,196.0,231.1,100.2,225.8,301.1,265.9,44.6
Strumica,120.9,113.6,190.4,142.8,148.6,63.8,103.0,263.1,0.0,170.8,92.5,271.8,262.6,154.7,81.7,80.7,101.7,99.2,100.5,215.5,94.2,61.7,116.3,63.2,37.4,192.6,187.1,71.2,54.2,196.8,37.5,73.0,115.9,219.0
Gostivar,63.9,87.2,153.5,136.3,26.9,110.9,107.8,122.6,175.3,0.0,128.3,126.3,97.5,136.6,132.7,92.0,134.2,173.2,136.3,67.6,138.1,182.2,137.2,171.2,140.9,135.8,95.0,142.0,177.0,121.4,171.7,186.9,151.7,165.1
Kočani,78.3,71.0,167.8,120.3,106.0,33.6,60.4,240.5,98.0,128.2,0.0,248.8,220.0,92.3,84.0,38.0,39.3,50.7,13.7,190.0,89.3,59.6,53.9,122.4,63.7,170.0,164.5,93.2,128.3,174.3,123.0,64.3,29.2,196.4
Struga,185.1,208.5,91.6,128.6,148.2,232.1,194.9,13.7,269.5,125.9,249.6,0.0,71.0,257.8,192.0,213.2,255.4,294.5,257.5,63.1,180.9,303.4,258.5,232.9,256.7,117.3,87.3,203.6,238.7,102.8,233.4,308.1,273.0,56.3
Debar,157.9,181.3,138.5,132.1,121.0,205.0,198.5,80.9,269.3,98.7,222.4,71.1,0.0,230.6,195.6,186.1,228.3,267.3,230.4,66.6,184.4,276.2,231.3,236.4,235.0,120.9,90.8,207.2,242.2,106.4,236.9,281.0,245.8,123.5
Kriva Palanka,85.1,53.6,212.4,164.9,112.8,96.7,103.7,251.9,161.1,135.0,93.5,255.6,226.8,0.0,128.6,79.8,61.7,129.4,101.4,196.9,134.0,147.3,39.1,167.1,126.7,214.6,209.1,137.8,172.9,218.9,167.6,152.0,116.9,241.0
Negotino,72.1,67.8,112.0,64.4,98.6,65.0,37.4,184.7,81.8,120.8,84.7,193.4,196.1,117.1,0.0,62.0,93.9,129.6,92.7,137.1,12.7,138.6,108.6,45.1,66.9,114.2,108.7,15.9,51.0,118.4,45.7,143.3,108.1,140.5
Sveti Nikole,43.1,35.8,145.0,97.5,70.8,21.0,37.6,209.8,85.4,93.0,38.5,213.6,184.8,79.3,61.2,0.0,44.5,83.3,46.4,154.9,66.6,92.3,50.5,99.7,51.0,147.3,141.8,70.5,105.5,151.5,100.2,97.0,61.8,173.6
Probištip,84.9,77.6,177.1,129.6,112.6,42.9,69.7,249.8,107.3,134.8,39.7,255.4,226.6,61.1,93.3,44.2,0.0,84.6,47.6,196.7,98.7,93.5,22.7,131.7,73.0,179.3,173.8,102.5,137.6,183.6,132.3,98.2,63.1,205.7
Delčevo,124.5,117.2,214.0,166.5,152.2,79.9,106.6,286.7,100.0,174.4,51.4,295.0,266.2,130.7,130.2,84.3,85.5,0.0,42.1,236.3,135.6,40.4,100.2,161.7,109.9,216.3,210.8,139.4,152.7,220.5,135.9,33.5,24.4,242.6
Vinica,86.6,79.2,176.1,128.6,114.2,41.9,68.7,248.8,106.3,136.5,13.4,257.1,228.3,100.6,92.3,46.3,47.5,40.9,0.0,198.3,97.6,48.0,62.2,130.7,71.9,178.3,172.8,101.5,136.6,182.5,131.3,52.7,27.4,204.7
Kičevo,126.1,149.4,91.4,73.6,89.1,173.1,140.0,60.5,214.5,66.8,190.5,64.2,66.9,198.7,137.0,154.2,196.4,235.4,198.5,0.0,125.9,244.4,199.4,177.9,201.7,73.8,32.3,148.6,183.7,59.3,178.4,249.1,213.9,103.1
Kavadarci,77.6,73.3,101.3,53.8,104.1,72.8,42.9,174.0,94.2,126.4,90.3,182.7,185.4,122.7,12.6,67.5,99.4,135.1,98.2,126.4,0.0,144.1,114.1,57.6,79.4,103.5,98.0,28.4,63.5,107.8,58.2,148.8,113.6,129.9
Berovo,132.3,125.0,221.8,174.3,160.0,87.7,114.4,294.5,61.8,182.2,59.2,302.8,274.0,146.3,138.0,92.1,93.3,39.6,48.0,244.1,143.4,0.0,107.9,123.5,97.6,224.0,218.5,131.5,114.5,228.3,97.7,13.4,62.2,250.4
Kratovo,86.6,55.1,191.8,144.2,114.3,57.6,84.3,253.4,122.0,136.5,54.3,257.1,228.3,38.4,107.9,50.4,22.6,99.2,62.3,198.4,113.3,108.2,0.0,146.4,87.6,194.0,188.5,117.2,152.2,198.2,146.9,112.9,77.7,220.3
Gevgelija,113.0,108.7,155.7,108.1,139.5,107.0,78.3,228.4,64.2,161.7,125.6,237.1,239.8,158.0,47.0,102.9,134.8,161.8,133.6,180.8,59.5,124.3,149.4,0.0,100.0,157.9,152.4,36.5,13.1,162.1,28.1,135.6,149.0,184.2
Radoviš,90.5,83.2,176.0,128.5,118.2,33.4,72.6,248.7,42.1,140.4,62.1,257.4,232.2,124.3,66.2,50.3,71.3,107.0,70.1,201.1,78.7,102.3,85.9,103.8,0.0,178.2,172.7,77.5,94.8,182.5,78.1,113.6,85.5,204.6
Kruševo,159.6,155.3,70.2,50.7,158.8,154.8,125.0,114.4,191.6,136.5,172.3,118.1,120.8,204.7,114.2,149.6,181.4,217.1,180.2,73.7,103.0,226.1,196.1,155.0,178.9,0.0,65.3,125.8,160.8,38.1,155.5,230.8,195.7,99.8
Makedonski Brod,153.7,149.3,96.4,44.7,117.6,148.8,111.1,84.3,185.6,95.3,166.3,88.1,90.8,198.7,108.2,143.6,175.4,211.2,174.2,31.8,97.0,220.1,190.1,149.0,172.9,64.6,0.0,119.8,154.8,79.3,149.5,224.8,189.7,125.0
Demir Kapija,83.0,78.7,125.7,78.2,109.5,77.0,48.3,198.4,71.9,131.7,95.6,207.1,209.8,128.0,17.0,72.9,104.8,140.5,103.6,150.8,29.5,132.1,119.4,35.3,78.9,127.9,122.4,0.0,41.2,132.1,35.9,143.3,119.0,154.3
Bogdanci,118.8,114.5,161.5,114.0,145.3,112.9,84.1,234.2,53.8,167.6,131.5,242.9,245.6,163.9,52.9,108.7,140.6,151.4,139.4,186.6,65.4,113.9,155.3,13.9,89.5,163.7,158.2,42.4,0.0,168.0,24.1,125.2,154.8,190.1
Demir Hisar,164.3,160.0,32.7,60.1,144.2,159.5,129.6,99.8,196.3,121.9,177.0,103.5,106.2,209.4,118.9,154.2,186.1,221.8,184.9,59.1,107.7,230.8,200.8,159.7,183.5,37.8,79.3,130.5,165.5,0.0,160.2,235.5,200.3,62.3
Valandovo,111.4,107.1,154.1,106.6,137.9,99.2,76.7,226.8,37.0,160.1,124.0,235.5,238.2,156.4,45.5,101.3,133.2,134.6,132.0,179.2,57.9,97.1,147.9,27.0,72.8,156.3,150.8,34.9,24.0,160.6,0.0,108.4,147.4,182.7
Pehčevo,137.2,129.9,226.7,179.2,164.9,92.5,119.3,299.4,73.2,187.1,64.1,307.7,278.9,151.2,142.9,97.0,98.2,32.8,52.9,249.0,148.3,13.6,112.8,134.9,108.9,228.9,223.4,142.9,125.9,233.2,109.1,0.0,55.4,255.3
Makedonska Kamenica,102.0,94.7,191.5,144.0,129.7,57.3,84.1,264.2,121.7,151.9,28.8,272.5,243.7,116.0,107.7,61.7,63.0,23.2,27.5,213.7,113.0,62.1,77.6,146.1,87.3,193.7,188.2,116.9,152.0,198.0,146.7,55.3,0.0,220.1
Resen,187.7,183.4,37.7,83.4,187.4,182.9,153.0,44.3,219.7,165.0,200.3,56.0,123.2,232.7,142.2,177.6,209.5,245.2,208.3,102.3,131.1,254.2,224.2,183.1,206.9,100.6,126.4,153.8,188.9,63.3,183.6,258.9,223.7,0.0
